date,time,ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,tags
2025-07-21,15:07:10,435,2.15E+00,1.99E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-21,15:07:10,434,2.14E+00,1.95E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-22,15:07:32,434,2.14E+00,1.95E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-22,18:21:20,434,2.14E+00,1.95E-07,205,1.01E+00,1.34E-03,"IG on, CG on"
2025-07-22,18:21:21,434,2.14E+00,1.95E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-22,18:21:22,434,2.14E+00,1.95E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-23,18:21:45,434,2.14E+00,1.95E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-23,20:22:09,434,2.14E+00,1.95E-07,212,1.05E+00,1.58E-03,"IG on, CG on"
2025-07-23,20:22:10,434,2.14E+00,1.95E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-23,20:22:11,434,2.14E+00,1.95E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-24,20:22:34,434,2.14E+00,1.95E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-25,20:22:57,433,2.14E+00,1.90E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-26,20:23:20,433,2.14E+00,1.90E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-27,20:23:43,432,2.13E+00,1.86E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-28,4:35:01,432,2.13E+00,1.86E-07,248,1.23E+00,3.75E-03,"IG on, CG on"
2025-07-28,4:35:02,432,2.13E+00,1.86E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-28,4:35:03,432,2.13E+00,1.86E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
