date,time,ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,tags
2025-07-18,16:56:46,437,2.16E+00,2.08E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:56:47,437,2.16E+00,2.08E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-19,9:29:44,435,2.15E+00,1.99E-07,222,1.10E+00,2.01E-03,"IG on, CG on"
2025-07-19,9:29:45,435,2.15E+00,1.99E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-19,9:29:46,435,2.15E+00,1.99E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-19,15:02:44,436,2.15E+00,2.04E-07,260,1.28E+00,4.99E-03,"IG on, CG on"
2025-07-19,15:02:45,435,2.15E+00,1.99E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-19,15:02:46,435,2.15E+00,1.99E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-20,7:19:18,436,2.15E+00,2.04E-07,245,1.21E+00,3.49E-03,"IG on, CG on"
2025-07-20,7:19:19,435,2.15E+00,1.99E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-20,7:19:20,435,2.15E+00,1.99E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-20,22:55:04,435,2.15E+00,1.99E-07,257,1.27E+00,4.64E-03,"IG on, CG on"
2025-07-20,22:55:05,435,2.15E+00,1.99E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-20,22:55:06,436,2.15E+00,2.04E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-21,5:29:55,435,2.15E+00,1.99E-07,218,1.08E+00,1.83E-03,"IG on, CG on"
2025-07-21,5:29:56,435,2.15E+00,1.99E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-21,5:29:57,434,2.14E+00,1.95E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
