date,time,ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,tags
2025-07-18,16:18:31,437,2.16E+00,2.08E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:18:32,436,2.15E+00,2.04E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:19:43,436,2.15E+00,2.04E-07,8,3.95E-02,1.21E-05,"IG on, CG turn off"
2025-07-18,16:19:44,436,2.15E+00,2.04E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:20:02,436,2.15E+00,2.04E-07,971,4.80E+00,1.19E+05,"IG on, CG turn on"
2025-07-18,16:20:03,436,2.15E+00,2.04E-07,288,1.42E+00,9.74E-03,"IG on, CG on"
2025-07-18,16:20:04,436,2.15E+00,2.04E-07,202,9.98E-01,1.25E-03,"IG on, CG on"
2025-07-18,16:20:05,436,2.15E+00,2.04E-07,194,9.59E-01,1.03E-03,"IG on, IG turn off, CG on"
2025-07-18,16:21:42,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-18,16:22:01,255,1.26E+00,3.31E-09,193,9.54E-01,1.01E-03,"IG turn on, CG on"
2025-07-18,16:22:02,252,1.25E+00,3.09E-09,193,9.54E-01,1.01E-03,"IG turn on, CG on"
2025-07-18,16:22:03,436,2.15E+00,2.04E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:22:04,437,2.16E+00,2.08E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
